"venue","total_runs"
"Eden Gardens","23658"
"Wankhede Stadium","23390"
"Feroz Shah Kotla","22947"
"M Chinnaswamy Stadium","20237"
"Rajiv Gandhi International Stadium, Uppal","19484"
"MA Chidambaram Stadium, Chepauk","17821"
"Sawai Mansingh Stadium","14264"
"Punjab Cricket Association Stadium, Mohali","10987"
"Dubai International Cricket Stadium","10402"
"Sheikh Zayed Stadium","8830"
"Punjab Cricket Association IS Bindra Stadium, Mohali","7021"
"Maharashtra Cricket Association Stadium","6780"
"Sharjah Cricket Stadium","5924"
"M.Chinnaswamy Stadium","5127"
"Dr DY Patil Sports Academy","4810"
"Subrata Roy Sahara Stadium","4755"
"Kingsmead","4353"
"Brabourne Stadium","3842"
"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","3746"
"Sardar Patel Stadium, Motera","3746"
"SuperSport Park","3653"
"Saurashtra Cricket Association Stadium","3316"
"Himachal Pradesh Cricket Association Stadium","2897"
"Holkar Cricket Stadium","2872"
"New Wanderers Stadium","2292"
"Barabati Stadium","2278"
"JSCA International Stadium Complex","2056"
"St George's Park","2033"
"Newlands","1764"
"Shaheed Veer Narayan Singh International Stadium","1741"
"Nehru Stadium","1363"
"Green Park","1298"
"De Beers Diamond Oval","897"
"Vidarbha Cricket Association Stadium, Jamtha","882"
"Buffalo Park","799"
"OUTsurance Oval","529"
